Gene	anti.CTLA4	anti.PD1	anti.PC	Rag
Apc	1.6477685	0.2989028	0.2069358	-5.2810063
Arid1a	-2.0686423	-1.7539115	0.1742357	-0.7587474
Arid1b	-0.626543	-1.050178	-0.861956	-1.95639
Arid2	-0.2222642	-0.045446	-0.2222642	-0.2222642
Atm	-0.2622851	-0.0599222	-0.201195	-0.4123061
Atrx	-0.8485701	-1.2720263	-1.4260421	-1.6030566
B2m	1.761696	1.768998	0.968453	0.335786
Bap1	0.9208445	0.3572745	-0.0423369	-0.436675
Bcor	1.0103182	0.54520354	0.48652502	0.39604193
Casp8	0.0729118	0.1217324	0.1714241	-0.2833585
Cdh1	-0.1420582	0.4939639	0.4124659	-0.3944906
Cdkn1a	0.247204	0.0302556	0.1763834	-0.4205828
Cdkn1b	0.5661428	1.0098062	0.722822	0.2422809
Cdkn2a	0.786348	0.927337	0.642711	0.025387
Cic	0.4688192	-0.1398708	0.258394	-0.525891
Ctcf	-0.0791305	-0.1356981	-0.0632923	0.2798575
Ep300	-0.1413504	-0.5441956	-0.2322325	-1.2988218
Fat1	0.006023	0.497176	0.64748	-1.082491
Fbxw7	0.67240081	0.06997084	-0.1834903	-0.23430189
Fubp1	-0.00547017	-0.23076501	-0.09647252	-0.29603774
Gata3	-0.6141576	-0.5274557	-0.0011184	-1.0450314
Grlf1	0.8807246	1.0288565	0.6168723	-0.1232243
Kansl1	0.3619643	0.9929348	0.3968887	-0.6850147
Kdm5c	1.4890923	0.4574249	0.2919361	-0.3405953
Kdm6a	0.4023095	0.4711384	1.27095	-0.2707505
Map2k4	0.8626027	-0.2002613	0.2121695	-0.4494633
Map3k1	0.3628175	0.3568805	0.365953	-0.5231195
Mll2	-0.3015599	-2.288406	-1.8538592	-4.2547191
Mll3	1.61932	-0.54115	1.493553	-1.850302
Nf1	-0.6395431	-1.3105111	-1.2938392	-3.7043899
Nkx2-1	-0.119309	-0.0656907	-0.0663561	-0.6207715
Notch1	-0.0995421	0.5542933	0.1262761	-0.5678784
Npm1	0.2748557	0.2476689	-0.0913284	-0.0050482
Pbrm1	0.00985824	0.0291498	0.42923544	-0.04954717
Pcna	-0.6947555	-0.1940929	-0.420863	-1.649805
Pik3r1	-0.635773	-0.412129	0.09227	-2.954406
Polr2a	0.1272297	0.3536667	0.0164058	0
Pten	0.242371	0.499951	0.573642	-5.415392
Rasa1	-0.5160316	-0.0063322	-0.7158381	-3.673413
Rb1	-0.447661	-1.639139	-1.650284	-4.451472
Rnf43	-1.3479714	-1.7862327	-2.3895225	-2.3601216
Rpl22	-0.3889418	0.1005512	0.5186645	-0.5052872
Rpl7	0.9802132	0.2604957	0.981248	0.8435765
Rps11	0.6245105	0.0778897	0.7648422	0.3537988
Rps18	-0.542206	-0.7731069	-0.8717736	-1.0499958
Rps19	0	0.1044545	0.1552754	0
Runx1	0.2769036	0.1195392	0.2082691	-0.0221174
Setd2	1.645277	1.467419	0.36988	3.100691
Sf3b3	-0.1753636	-0.1874414	0.0450211	0.3296394
Smad4	0.1347445	1.658801	-0.2060224	-0.8872495
Stag2	0.079108	0.600758	0.59913	-2.08
Stk11	-0.629082	-0.596593	-0.057797	-5.599623
Tgfbr2	-1.0328588	0.0460691	0.2108952	-1.7935975
Trp53	0.339664	0.065931	-1.009941	-5.316156
Vhl	0.8685584	2.1612295	0.6140049	-0.4614927
Zc3h13	0.7011515	-0.3071589	0.4586869	-1.1689266
