sample	MouseID	Tissue	Type	Treatment
Sample_P1A1	mTSG-N1L	Lobe_1	TBG-mTSG	anti-PD1
Sample_P1A10	mTSG-N1L	Lung Met	TBG-mTSG	anti-PD1
Sample_P1A11	mTSG-N1R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_P1A12	mTSG-N1R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_P1A2	mTSG-N1L	Lobe_2	TBG-mTSG	anti-PD1
Sample_P1A3	mTSG-N1L	Lobe_3a	TBG-mTSG	anti-PD1
Sample_P1A4	mTSG-N1L	lobe_3b	TBG-mTSG	anti-PD1
Sample_P1A5	mTSG-N1L	lobe_4	TBG-mTSG	anti-PD1
Sample_P1A6	mTSG-N1L	lobe_5	TBG-mTSG	anti-PD1
Sample_P1A7	mTSG-N1L	lobe_6	TBG-mTSG	anti-PD1
Sample_P1A8	mTSG-N1L	ab-Met	TBG-mTSG	anti-PD1
Sample_P1A9	mTSG-N1L	ab-Met	TBG-mTSG	anti-PD1
Sample_P1B1	mTSG-N1R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_P1B10	mTSG-N1NC	lobe_4	TBG-mTSG	anti-PC
Sample_P1B11	mTSG-N1NC	lobe_5-6	TBG-mTSG	anti-PC
Sample_P1B12	mTSG-N1NC	Lung Met	TBG-mTSG	anti-PC
Sample_P1B2	mTSG-N1R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_P1B3	mTSG-N1R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_P1B4	mTSG-N1R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_P1B5	mTSG-N1R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_P1B6	mTSG-N1R	Lung Met	TBG-mTSG	anti-CTLA4
Sample_P1B7	mTSG-N1NC	Lobe_1	TBG-mTSG	anti-PC
Sample_P1B8	mTSG-N1NC	Lobe_2	TBG-mTSG	anti-PC
Sample_P1B9	mTSG-N1NC	Lobe_3	TBG-mTSG	anti-PC
Sample_P1C1	mTSG-N2L	Lobe_1	TBG-mTSG	anti-PD1
Sample_P1C10	mTSG-N2R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_P1C11	mTSG-N2R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_P1C12	mTSG-N2R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_P1C2	mTSG-N2L	Lobe_2	TBG-mTSG	anti-PD1
Sample_P1C3	mTSG-N2L	Lobe_3	TBG-mTSG	anti-PD1
Sample_P1C4	mTSG-N2L	lobe_4	TBG-mTSG	anti-PD1
Sample_P1C5	mTSG-N2L	lobe_5	TBG-mTSG	anti-PD1
Sample_P1C6	mTSG-N2L	lobe_6	TBG-mTSG	anti-PD1
Sample_P1C7	mTSG-N2L	Lung Met	TBG-mTSG	anti-PD1
Sample_P1C8	mTSG-N2L	ab-Met	TBG-mTSG	anti-PD1
Sample_P1C9	mTSG-N2R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_P1D1	mTSG-N2R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_P1D10	mTSG-N2NC	lobe_6	TBG-mTSG	anti-PC
Sample_P1D11	mTSG-N2NC	Lung Met	TBG-mTSG	anti-PC
Sample_P1D12	mTSG-N3L	Lobe_1	TBG-mTSG	anti-PD1
Sample_P1D2	mTSG-N2R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_P1D3	mTSG-N2R	lobe_6	TBG-mTSG	anti-CTLA4
Sample_P1D4	mTSG-N2R	ab-Met	TBG-mTSG	anti-CTLA4
Sample_P1D5	mTSG-N2NC	Lobe_1	TBG-mTSG	anti-PC
Sample_P1D6	mTSG-N2NC	Lobe_2	TBG-mTSG	anti-PC
Sample_P1D7	mTSG-N2NC	Lobe_3	TBG-mTSG	anti-PC
Sample_P1D8	mTSG-N2NC	lobe_4	TBG-mTSG	anti-PC
Sample_P1D9	mTSG-N2NC	lobe_5	TBG-mTSG	anti-PC
Sample_P1E1	mTSG-N3L	Lobe_2	TBG-mTSG	anti-PD1
Sample_P1E10	mTSG-N3R	Lobe_3a	TBG-mTSG	anti-CTLA4
Sample_P1E11	mTSG-N3R	lobe_3b	TBG-mTSG	anti-CTLA4
Sample_P1E12	mTSG-N3R	lobe_4	TBG-mTSG	anti-CTLA4
Sample_P1E2	mTSG-N3L	Lobe_3a	TBG-mTSG	anti-PD1
Sample_P1E3	mTSG-N3L	lobe_3b	TBG-mTSG	anti-PD1
Sample_P1E4	mTSG-N3L	lobe_4	TBG-mTSG	anti-PD1
Sample_P1E5	mTSG-N3L	lobe_5	TBG-mTSG	anti-PD1
Sample_P1E6	mTSG-N3L	lobe_6	TBG-mTSG	anti-PD1
Sample_P1E7	mTSG-N3L	Lung Met	TBG-mTSG	anti-PD1
Sample_P1E8	mTSG-N3R	Lobe_1	TBG-mTSG	anti-CTLA4
Sample_P1E9	mTSG-N3R	Lobe_2	TBG-mTSG	anti-CTLA4
Sample_P1F1	mTSG-N3R	lobe_5	TBG-mTSG	anti-CTLA4
Sample_P1F10	mTSG-N3LR	lobe_5	TBG-mTSG	PBS
Sample_P1F11	mTSG-N3LR	lobe_6	TBG-mTSG	PBS
Sample_P1F12	mTSG-N3LR	Pancreatic 	TBG-mTSG	PBS
Sample_P1F2	mTSG-N3R	lobe_6	TBG-mTSG	anti-CTLA4
