Sample_P2B2	Gene
Apc_sg1	Apc
Apc_sg2	Apc
Apc_sg3	Apc
Apc_sg4	Apc
Apc_sg5	Apc
Arid1a_sg1	Arid1a
Arid1a_sg2	Arid1a
Arid1a_sg3	Arid1a
Arid1a_sg4	Arid1a
Arid1b_sg1	Arid1b
Arid1b_sg2	Arid1b
Arid1b_sg3	Arid1b
Arid1b_sg4	Arid1b
Arid1b_sg5	Arid1b
Arid2_sg1	Arid2
Arid2_sg2	Arid2
Arid2_sg3	Arid2
Arid2_sg4	Arid2
Arid2_sg5	Arid2
Atm_sg1	Atm
Atm_sg2	Atm
Atm_sg3	Atm
Atm_sg4	Atm
Atm_sg5	Atm
Atrx_sg1	Atrx
Atrx_sg2	Atrx
Atrx_sg3	Atrx
Atrx_sg4	Atrx
Atrx_sg5	Atrx
B2m_sg1	B2m
B2m_sg2	B2m
B2m_sg3	B2m
B2m_sg4	B2m
B2m_sg5	B2m
Bap1_sg1	Bap1
Bap1_sg2	Bap1
Bap1_sg3	Bap1
Bap1_sg4	Bap1
Bap1_sg5	Bap1
Bcor_sg1	Bcor
Bcor_sg2	Bcor
Bcor_sg3	Bcor
Bcor_sg4	Bcor
Bcor_sg5	Bcor
Casp8_sg1	Casp8
Casp8_sg2	Casp8
Casp8_sg3	Casp8
Casp8_sg4	Casp8
Casp8_sg5	Casp8
Cdh1_sg1	Cdh1
Cdh1_sg2	Cdh1
Cdh1_sg3	Cdh1
Cdh1_sg4	Cdh1
Cdh1_sg5	Cdh1
Cdkn1a_sg1	Cdkn1a
Cdkn1a_sg2	Cdkn1a
Cdkn1a_sg3	Cdkn1a
Cdkn1a_sg4	Cdkn1a
Cdkn1a_sg5	Cdkn1a
Cdkn1b_sg1	Cdkn1b
Cdkn1b_sg2	Cdkn1b
Cdkn1b_sg3	Cdkn1b
Cdkn1b_sg4	Cdkn1b
Cdkn1b_sg5	Cdkn1b
Cdkn2a_sg1	Cdkn2a
Cdkn2a_sg2	Cdkn2a
Cdkn2a_sg3	Cdkn2a
Cdkn2a_sg4	Cdkn2a
Cdkn2a_sg5	Cdkn2a
Cic_sg1	Cic
Cic_sg2	Cic
Cic_sg3	Cic
Cic_sg4	Cic
Cic_sg5	Cic
Ctcf_sg1	Ctcf
Ctcf_sg2	Ctcf
Ctcf_sg3	Ctcf
Ctcf_sg4	Ctcf
Ctcf_sg5	Ctcf
Ep300_sg1	Ep300
Ep300_sg2	Ep300
Ep300_sg3	Ep300
Ep300_sg4	Ep300
Ep300_sg5	Ep300
Fat1_sg1	Fat1
Fat1_sg2	Fat1
Fat1_sg3	Fat1
Fat1_sg4	Fat1
Fat1_sg5	Fat1
Fbxw7_sg1	Fbxw7
Fbxw7_sg2	Fbxw7
Fbxw7_sg3	Fbxw7
Fbxw7_sg4	Fbxw7
Fbxw7_sg5	Fbxw7
Fubp1_sg1	Fubp1
Fubp1_sg2	Fubp1
Fubp1_sg3	Fubp1
Fubp1_sg4	Fubp1
Fubp1_sg5	Fubp1
Gata3_sg1	Gata3
Gata3_sg2	Gata3
Gata3_sg3	Gata3
Gata3_sg4	Gata3
Gata3_sg5	Gata3
Grlf1_sg1	Grlf1
Grlf1_sg2	Grlf1
Grlf1_sg3	Grlf1
Grlf1_sg4	Grlf1
Grlf1_sg5	Grlf1
Kansl1_sg1	Kansl1
Kansl1_sg2	Kansl1
Kansl1_sg3	Kansl1
Kansl1_sg4	Kansl1
Kansl1_sg5	Kansl1
Kdm5c_sg1	Kdm5c
Kdm5c_sg2	Kdm5c
Kdm5c_sg3	Kdm5c
