chromsome	start	end	sgRNA	quality	strand	cutsite	search_start	search_end
chr1	16102582	16102642	Rpl7_sg1	20	+	16102612	16102609	16102615
chr1	16102646	16102706	Rpl7_sg3	20	-	16102676	16102673	16102679
chr1	16102667	16102727	Rpl7_sg2	20	-	16102697	16102694	16102700
chr1	16103143	16103203	Rpl7_sg4	20	-	16103173	16103170	16103176
chr1	16103255	16103315	Rpl7_sg5	20	-	16103285	16103282	16103288
chr1	58831616	58831676	Casp8_sg5	20	-	58831646	58831643	58831649
chr1	58833604	58833664	Casp8_sg3	20	-	58833634	58833631	58833637
chr1	58833688	58833748	Casp8_sg4	20	-	58833718	58833715	58833721
chr1	58844479	58844539	Casp8_sg1	20	+	58844509	58844506	58844512
chr1	58844489	58844549	Casp8_sg2	20	+	58844519	58844516	58844522
chr10	80127053	80127113	Stk11_sg5	20	-	80127083	80127080	80127086
chr10	80127899	80127959	Stk11_sg3	20	+	80127929	80127926	80127932
chr10	80127919	80127979	Stk11_sg4	20	-	80127949	80127946	80127952
chr10	80128444	80128504	Stk11_sg2	20	+	80128474	80128471	80128477
chr10	80128465	80128525	Stk11_sg1	20	+	80128495	80128492	80128498
chr11	33154014	33154074	Npm1_sg4	20	-	33154044	33154041	33154047
chr11	33154033	33154093	Npm1_sg5	20	+	33154063	33154060	33154066
chr11	33159919	33159979	Npm1_sg1	20	-	33159949	33159946	33159952
chr11	33160798	33160858	Npm1_sg3	20	-	33160828	33160825	33160831
chr11	33160880	33160940	Npm1_sg2	20	+	33160910	33160907	33160913
chr11	65693416	65693476	Map2k4_sg1	20	+	65693446	65693443	65693449
chr11	65693507	65693567	Map2k4_sg2	20	-	65693537	65693534	65693540
chr11	65696306	65696366	Map2k4_sg3	20	-	65696336	65696333	65696339
chr11	65696329	65696389	Map2k4_sg4	20	+	65696359	65696356	65696362
chr11	65712251	65712311	Map2k4_sg5	20	-	65712281	65712278	65712284
chr11	69586843	69586903	p53_g7_master	20	+	69586873	69586870	69586876
chr11	69589096	69589156	p53_g8_master	20	+	69589126	69589123	69589129
chr11	69589111	69589171	Trp53_sg5	20	-	69589141	69589138	69589144
chr11	69589165	69589225	Trp53_sg4	20	-	69589195	69589192	69589198
chr11	69589686	69589746	Trp53_sg3	20	+	69589716	69589713	69589719
chr11	69589770	69589830	Trp53_sg2	20	-	69589800	69589797	69589803
chr11	69589808	69589868	Trp53_sg1	20	-	69589838	69589835	69589841
chr11	69744995	69745055	Polr2a_sg2	20	-	69745025	69745022	69745028
chr11	69744997	69745057	Polr2a_sg1	20	-	69745027	69745024	69745030
chr11	69745565	69745625	Polr2a_sg5	20	+	69745595	69745592	69745598
chr11	69745575	69745635	Polr2a_sg4	20	+	69745605	69745602	69745608
chr11	69745655	69745715	Polr2a_sg3	20	-	69745685	69745682	69745688
chr11	79411634	79411694	Nf1_sg1	20	+	79411664	79411661	79411667
chr11	79471416	79471476	Nf1_sg4	20	-	79471446	79471443	79471449
chr11	79471567	79471627	Nf1_sg5	20	+	79471597	79471594	79471600
chr11	79548684	79548744	Nf1_sg2	20	+	79548714	79548711	79548717
chr11	79548753	79548813	Nf1_sg3	20	+	79548783	79548780	79548786
chr11	87730203	87730263	Rnf43_sg4	20	+	87730233	87730230	87730236
chr11	87730217	87730277	Rnf43_sg3	20	+	87730247	87730244	87730250
chr11	87731045	87731105	Rnf43_sg5	20	-	87731075	87731072	87731078
chr11	87731760	87731820	Rnf43_sg2	20	-	87731790	87731787	87731793
chr11	87732110	87732170	Rnf43_sg1	20	-	87732140	87732137	87732143
chr11	104342385	104342445	Kansl1_sg2	20	+	104342415	104342412	104342418
chr11	104342407	104342467	Kansl1_sg1	20	+	104342437	104342434	104342440
chr11	104342896	104342956	Kansl1_sg3	20	+	104342926	104342923	104342929
chr11	104343022	104343082	Kansl1_sg4	20	+	104343052	104343049	104343055
chr11	104343631	104343691	Kansl1_sg5	20	+	104343661	104343658	104343664
chr12	56533207	56533267	Nkx2-1_sg2	20	+	56533237	56533234	56533240
chr12	56533308	56533368	Nkx2-1_sg3	20	-	56533338	56533335	56533341
chr12	56533657	56533717	Nkx2-1_sg1	20	+	56533687	56533684	56533690
chr12	56534770	56534830	Nkx2-1_sg5	20	-	56534800	56534797	56534803
chr12	56534860	56534920	Nkx2-1_sg4	20	-	56534890	56534887	56534893
chr13	85223498	85223558	Rasa1_sg5	20	-	85223528	85223525	85223531
chr13	85244243	85244303	Rasa1_sg1	20	-	85244273	85244270	85244276
chr13	85250434	85250494	Rasa1_sg3	20	+	85250464	85250461	85250467
chr13	85250437	85250497	Rasa1_sg2	20	-	85250467	85250464	85250470
chr13	85252471	85252531	Rasa1_sg4	20	-	85252501	85252498	85252504
chr13	101686221	101686281	Pik3r1_sg2	20	-	101686251	101686248	101686254
chr13	101686363	101686423	Pik3r1_sg1	20	+	101686393	101686390	101686396
chr13	101686992	101687052	Pik3r1_sg5	20	-	101687022	101687019	101687025
chr13	101690529	101690589	Pik3r1_sg3	20	+	101690559	101690556	101690562
chr13	101690563	101690623	Pik3r1_sg4	20	+	101690593	101690590	101690596
chr13	111763029	111763089	Map3k1_sg1	20	+	111763059	111763056	111763062
chr13	111763186	111763246	Map3k1_sg2	20	+	111763216	111763213	111763219
chr13	111763473	111763533	Map3k1_sg4	20	-	111763503	111763500	111763506
chr13	111763494	111763554	Map3k1_sg3	20	-	111763524	111763521	111763527
chr13	111764051	111764111	Map3k1_sg5	20	+	111764081	111764078	111764084
chr14	31038941	31039001	Pbrm1_sg1	20	-	31038971	31038968	31038974
chr14	31038966	31039026	Pbrm1_sg2	20	+	31038996	31038993	31038999
chr14	31040479	31040539	Pbrm1_sg4	20	+	31040509	31040506	31040512
chr14	31040496	31040556	Pbrm1_sg3	20	+	31040526	31040523	31040529
chr14	31045328	31045388	Pbrm1_sg5	20	-	31045358	31045355	31045361
chr14	31254230	31254290	Bap1_sg5	20	+	31254260	31254257	31254263
chr14	31254530	31254590	Bap1_sg3	20	-	31254560	31254557	31254563
chr14	31254569	31254629	Bap1_sg4	20	+	31254599	31254596	31254602
chr14	31255088	31255148	Bap1_sg2	20	-	31255118	31255115	31255121
